RECORD_ID,COLLEGE_CODE,COLLEGE_NAME,DISTRICT,BRANCH_NAME,BRANCH_CODE,OC,BC,BCM,MBC,SC,SCA,ST
TNEA2025-03282,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Bio Medical Engineering (Ss),by,195.0,192.0,193.0,193.0,182.5,168.0,191.5
TNEA2025-03283,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Civil Engineering,ce,195.0,192.0,190.0,193.5,186.0,176.0,191.5
TNEA2025-03284,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Civil Engineering (Tamil Medium),xc,188.41,179.0,181.0,181.5,167.0,156.5,191.5
TNEA2025-03285,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Computer Science and Engineering,cs,200.0,199.5,198.5,199.5,197.5,195.0,191.5
TNEA2025-03286,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Computer Science and Engineering (Ss),cm,199.5,199.0,198.0,199.0,195.5,190.5,191.5
TNEA2025-03287,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Electrical and Electronics Engineering,ee,197.5,196.5,196.5,196.0,192.5,187.5,190.0
TNEA2025-03290,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Electronics Engineering (Vlsi Design and Technology) (Ss),el,197.0,196.5,194.5,195.5,191.0,191.5,164.0
TNEA2025-03288,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Electronics and Communication Engineering,ec,199.5,199.0,197.5,198.5,197.0,196.0,190.0
TNEA2025-03289,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Electronics and Communication Engineering (Ss),em,198.5,198.5,197.5,197.5,194.0,191.5,180.5
TNEA2025-03291,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Geo Informatics,gi,191.0,188.0,189.0,186.0,177.0,175.0,164.0
TNEA2025-03292,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Industrial Engineering,ie,190.5,186.0,186.0,185.0,176.5,163.5,167.0
TNEA2025-03293,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Information Technology (Ss),im,198.5,198.0,197.5,197.5,193.5,191.0,193.0
TNEA2025-03294,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Manufacturing Engineering,mn,188.59,184.0,186.5,184.5,175.0,164.0,168.5
TNEA2025-03295,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Material Science and Engineering (Ss),ma,189.5,186.0,189.0,185.0,175.0,157.5,168.5
TNEA2025-03296,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Mechanical Engineering,me,194.5,192.5,193.5,192.5,187.0,182.5,184.5
TNEA2025-03297,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Mechanical Engineering (Tamil Medium),xm,187.5,179.5,186.0,179.0,163.5,182.5,158.5
TNEA2025-03298,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Mining Engineering,mi,191.5,186.5,186.0,189.5,181.0,164.5,158.5
TNEA2025-03299,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CHENNAI,Printing & Packing Technology,pt,184.5,176.5,166.5,173.0,167.0,149.0,167.5
TNEA2025-03266,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,VILUPPURAM,Computer Science and Engineering,cs,181.5,165.5,166.5,168.5,153.0,125.5,149.5
TNEA2025-03267,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,VILUPPURAM,Electronics and Communication Engineering,ec,168.0,151.5,149.5,151.0,131.0,137.0,99.5
TNEA2025-03268,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,VILUPPURAM,Information Technology,it,172.5,155.5,153.0,157.81,147.5,149.0,99.5
TNEA2025-03269,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,VILUPPURAM,Mechanical Engineering,me,137.5,92.0,122.5,99.0,103.0,149.0,99.5
TNEA2025-03270,1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,VILUPPURAM,Mechanical Engineering (Tamil Medium),xm,100.5,92.0,122.5,87.0,97.5,149.0,99.5
TNEA2025-03243,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,VILUPPURAM,Civil Engineering,ce,126.5,89.0,161.5,90.0,106.0,102.5,121.0
TNEA2025-03244,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,VILUPPURAM,Civil Engineering (Tamil Medium),xc,142.5,109.0,161.5,84.0,113.0,129.5,121.0
TNEA2025-03245,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,VILUPPURAM,Computer Science and Engineering,cs,172.5,157.5,161.5,159.0,146.5,97.0,121.0
TNEA2025-03246,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,VILUPPURAM,Electronics and Communication Engineering,ec,164.0,142.5,154.0,147.0,126.0,128.0,121.0
TNEA2025-03247,1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,VILUPPURAM,Information Technology,it,171.0,152.5,144.0,155.5,129.0,107.5,121.0
TNEA2025-03191,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,TIRUVANNAMALAI,Computer Science and Engineering,cs,170.0,159.5,145.0,159.0,129.0,132.5,Not Available
TNEA2025-03192,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,TIRUVANNAMALAI,Electrical and Electronics Engineering,ee,144.5,133.5,140.0,120.0,87.5,132.5,Not Available
TNEA2025-03193,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,TIRUVANNAMALAI,Electronics and Communication Engineering,ec,158.0,143.0,106.5,147.5,125.5,91.5,Not Available
TNEA2025-03194,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,TIRUVANNAMALAI,Mechanical Engineering,me,139.0,114.5,106.5,95.0,79.5,91.5,Not Available
TNEA2025-03195,1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,TIRUVANNAMALAI,Mechanical Engineering (Tamil Medium),xm,87.5,114.5,106.5,95.0,79.5,91.5,Not Available
TNEA2025-03203,1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,KANCHIPURAM,Computer Science and Engineering,cs,178.5,166.0,167.0,173.0,160.5,127.5,132.0
TNEA2025-03204,1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,KANCHIPURAM,Electrical and Electronics Engineering,ee,156.0,139.5,149.0,142.0,125.0,117.0,132.0
TNEA2025-03205,1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,KANCHIPURAM,Electronics and Communication Engineering,ec,169.5,157.0,161.0,157.5,131.5,97.5,132.0
TNEA2025-03206,1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,KANCHIPURAM,Mechanical Engineering,me,139.0,121.5,161.0,103.0,113.5,97.5,132.0
TNEA2025-00072,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,152.5,117.0,150.5,109.5,125.0,Not Available,Not Available
TNEA2025-00073,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Computer Science and Bussiness System,cb,134.5,98.0,134.5,111.0,125.0,Not Available,Not Available
TNEA2025-00074,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Computer Science and Engineering,cs,148.0,89.0,145.0,96.5,130.0,Not Available,Not Available
TNEA2025-00075,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Computer Science and Engineering (Ai and Machine Learning),am,147.5,100.5,145.5,120.0,105.5,Not Available,Not Available
TNEA2025-00076,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Computer Science and Engineering (Cyber Security),sc,137.5,106.0,136.0,126.0,108.0,Not Available,Not Available
TNEA2025-00077,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Electrical and Electronics Engineering,ee,119.5,101.5,136.0,126.0,108.0,Not Available,Not Available
TNEA2025-00078,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Electronics and Communication Engineering,ec,138.0,94.5,137.0,100.5,108.0,Not Available,Not Available
TNEA2025-00079,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Information Technology,it,142.5,105.5,137.5,130.5,87.0,Not Available,Not Available
TNEA2025-00080,1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai-600055.",TIRUVALLUR,Mechanical Engineering,me,105.5,105.5,137.5,130.5,87.0,Not Available,Not Available
TNEA2025-00377,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",TIRUVALLUR,Civil Engineering,ce,103.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNEA2025-00378,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",TIRUVALLUR,Computer Science and Engineering,cs,103.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNEA2025-00379,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",TIRUVALLUR,Electrical and Electronics Engineering,ee,103.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNEA2025-00380,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",TIRUVALLUR,Electronics and Communication Engineering,ec,131.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNEA2025-00381,1102,"Bhajarang Engineering College, Ayathur Village, Veppampattu (R.S), Thiruvallur dist-602024.",TIRUVALLUR,Mechanical Engineering,me,131.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TNEA2025-01078,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Aeronautical Engineering,ae,123.5,87.5,112.0,101.0,93.0,94.5,Not Available
TNEA2025-01079,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Civil Engineering,ce,123.5,87.5,112.0,101.0,93.0,94.5,Not Available
TNEA2025-01081,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Bussiness System,cb,108.5,87.5,112.0,101.0,95.5,94.5,Not Available
TNEA2025-01082,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Engineering,cs,130.0,104.5,112.0,114.0,87.0,94.5,Not Available
TNEA2025-01083,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Engineering (Ai and Machine Learning),am,138.5,105.0,112.0,103.5,106.0,94.5,Not Available
TNEA2025-01080,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Computer and Communication Engineering,co,107.0,87.5,112.0,101.0,93.0,94.5,Not Available
TNEA2025-01084,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Electrical and Electronics Engineering,ee,80.0,105.0,112.0,103.5,106.0,94.5,Not Available
TNEA2025-01085,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Electronics and Communication Engineering,ec,133.5,103.0,112.0,96.5,93.5,94.5,Not Available
TNEA2025-01086,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Electronics and Instrumentation Engineering,ei,101.5,103.0,112.0,96.5,87.5,94.5,Not Available
TNEA2025-01087,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Information Technology,it,121.5,90.0,116.0,83.5,107.0,101.0,Not Available
TNEA2025-01088,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Mechanical Engineering,me,85.5,90.0,116.0,83.5,107.0,101.0,Not Available
TNEA2025-01089,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Robotics and Automation,rm,91.0,90.0,116.0,83.5,107.0,101.0,Not Available
TNEA2025-01090,1106,"Jaya Engineering College, Prakash Nagar, Thiruninravur, Thiruvallur District, Chennai-602024.",TIRUVALLUR,Textile Technology,tx,120.5,90.0,116.0,83.5,107.0,101.0,Not Available
TNEA2025-01091,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",TIRUVALLUR,Computer Science and Engineering,cs,85.5,Not Available,Not Available,Not Available,83.0,Not Available,Not Available
TNEA2025-01092,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",TIRUVALLUR,Electrical and Electronics Engineering,ee,85.5,Not Available,Not Available,Not Available,83.0,Not Available,Not Available
TNEA2025-01093,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",TIRUVALLUR,Electronics and Communication Engineering,ec,103.5,Not Available,Not Available,Not Available,83.0,Not Available,Not Available
TNEA2025-01094,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",TIRUVALLUR,Food Technology,fd,143.0,Not Available,Not Available,Not Available,83.0,Not Available,Not Available
TNEA2025-01095,1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",TIRUVALLUR,Mechanical Engineering,me,143.0,Not Available,Not Available,Not Available,83.0,Not Available,Not Available
TNEA2025-02095,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,144.5,132.5,115.0,130.0,98.5,82.5,Not Available
TNEA2025-02096,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Bio Technology,bt,105.5,132.5,115.0,130.0,98.5,82.5,Not Available
TNEA2025-02097,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Computer Science and Bussiness System,cb,143.0,118.0,115.0,126.0,87.0,82.5,Not Available
TNEA2025-02098,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Computer Science and Engineering,cs,152.0,136.0,120.5,134.5,103.0,82.5,Not Available
TNEA2025-02099,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Computer Science and Engineering (Ai and Machine Learning),am,138.0,124.5,102.0,115.5,92.5,82.5,Not Available
TNEA2025-02100,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Computer Science and Engineering (Cyber Security),sc,141.0,127.0,123.5,118.0,116.0,82.5,Not Available
TNEA2025-02101,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Electrical and Electronics Engineering,ee,93.5,91.5,123.5,88.0,116.0,82.5,Not Available
TNEA2025-02102,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Electronics and Communication Engineering,ec,146.0,125.5,121.0,129.0,118.0,82.5,Not Available
TNEA2025-02103,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Information Technology,it,144.5,137.0,121.0,137.5,111.0,82.5,Not Available
TNEA2025-02104,1110,"Prathyusha Engineering College (Autonomous), Poonamallee-Tiruvallur High Road, Aranvoyalkuppam, Tiruvallur-602025.",TIRUVALLUR,Mechanical Engineering,me,90.5,137.0,121.0,137.5,111.0,82.5,Not Available
TNEA2025-02147,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",TIRUVALLUR,Artificial Intelligence and Machine Learning,al,177.0,172.5,171.5,167.0,140.0,118.0,132.0
TNEA2025-02148,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",TIRUVALLUR,Computer Science and Bussiness System,cb,175.5,173.0,171.5,165.28,137.5,118.0,132.0
TNEA2025-02149,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",TIRUVALLUR,Computer Science and Engineering,cs,181.0,176.5,167.5,174.0,150.0,118.0,132.0
TNEA2025-02150,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",TIRUVALLUR,Electronics and Communication Engineering,ec,177.0,174.0,162.5,167.5,143.0,111.5,132.0
TNEA2025-02151,1112,"R.M.D. Engineering College (Autonomous), R.S.M. Nagar, Gummidipoondi Taluk, Kavaraipettai, Thiruvallur-601206.",TIRUVALLUR,Information Technology,it,177.5,173.0,166.5,170.0,139.0,113.0,132.0
TNEA2025-02163,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,185.5,181.5,171.0,180.0,152.5,130.5,139.0
TNEA2025-02164,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Civil Engineering,ce,159.5,151.5,118.0,144.5,141.0,130.5,139.0
TNEA2025-02165,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Computer Science and Bussiness System,cb,182.5,179.5,168.5,175.0,157.0,119.5,139.0
TNEA2025-02166,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Computer Science and Design,cd,178.0,175.0,168.5,174.0,139.0,119.5,139.0
TNEA2025-02167,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Computer Science and Engineering,cs,188.0,184.0,177.5,183.0,167.5,129.0,139.0
TNEA2025-02168,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Electrical and Electronics Engineering,ee,179.5,171.0,173.5,170.5,140.5,129.0,139.0
TNEA2025-02170,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Electronics Engineering (Vlsi Design and Technology),ev,177.0,171.0,166.0,170.0,139.5,165.5,139.0
TNEA2025-02171,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Electronics and Communication (Advanced Communication Technology),ea,180.5,176.0,174.5,170.5,145.5,98.0,139.0
TNEA2025-02169,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Electronics and Communication Engineering,ec,184.5,181.5,176.0,175.5,162.0,165.5,139.0
TNEA2025-02172,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Information Technology,it,184.5,182.0,177.0,177.5,163.5,125.0,106.0
TNEA2025-02173,1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206.",TIRUVALLUR,Mechanical Engineering,me,172.0,163.0,145.5,166.0,142.0,125.0,106.0
TNEA2025-02297,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,161.0,148.5,145.5,150.5,123.5,154.0,Not Available
TNEA2025-02298,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Civil Engineering,ce,130.0,102.5,145.5,118.0,94.5,154.0,Not Available
TNEA2025-02299,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Computer Science and Bussiness System,cb,150.5,143.0,134.0,142.5,125.0,154.0,Not Available
TNEA2025-02300,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Computer Science and Engineering,cs,160.0,150.5,140.5,148.5,122.5,154.0,Not Available
TNEA2025-02301,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Computer Science and Engineering (Ai and Machine Learning),am,156.0,144.5,140.5,145.5,118.5,154.0,Not Available
TNEA2025-02302,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Computer Science and Engineering (Cyber Security),sc,154.0,145.5,137.0,146.0,116.5,154.0,Not Available
TNEA2025-02303,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Electrical and Electronics Engineering,ee,136.5,85.5,137.0,111.0,101.0,154.0,Not Available
TNEA2025-02305,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Electronics Engineering (Vlsi Design and Technology),ev,140.0,113.0,138.0,120.0,105.0,154.0,Not Available
TNEA2025-02304,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Electronics and Communication Engineering,ec,154.0,144.0,145.5,142.5,113.5,154.0,Not Available
TNEA2025-02306,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Information Technology,it,156.5,145.0,136.0,144.5,122.0,154.0,Not Available
TNEA2025-02307,1114,"S.A. Engineering College (Autonomous), Poonamallee- Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",TIRUVALLUR,Mechanical Engineering,me,122.0,93.5,136.0,109.5,95.0,154.0,Not Available
TNEA2025-02882,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,120.0,117.0,Not Available,109.0,91.5,Not Available,Not Available
TNEA2025-02883,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Bussiness System,cb,120.0,117.0,Not Available,109.0,91.5,Not Available,Not Available
TNEA2025-02884,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Engineering,cs,126.0,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02885,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Engineering (Ai and Machine Learning),am,101.0,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02886,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Computer Science and Engineering (Cyber Security),sc,89.0,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02887,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Electrical and Electronics Engineering,ee,99.0,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02888,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Electronics and Communication Engineering,ec,96.5,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02889,1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024.",TIRUVALLUR,Mechanical Engineering,me,96.5,107.0,Not Available,109.5,110.5,Not Available,Not Available
TNEA2025-02847,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.",TIRUVALLUR,Artificial Intelligence and Data Science,ad,154.0,149.5,148.5,145.0,113.5,Not Available,Not Available
TNEA2025-02848,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.",TIRUVALLUR,Civil Engineering,ce,106.0,149.5,148.5,145.0,113.5,Not Available,Not Available
TNEA2025-02849,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur Taluk & District-631203.",TIRUVALLUR,Computer Science and Engineering,cs,172.5,156.0,155.5,159.0,107.0,Not Available,Not Available
